INC000002574730;Atrasou;00 00:45:45;7259MOD-SIGCR-BATCH;CTRLM-SIGCR-SIAPIGCRPRE10-MP-ABEND ORDER ID 0nf5u;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoP45.;23/2/2019 18:17:00
INC000002574834;Atrasou;00 01:13:04;7259MOD-SIPLD-BATCH;CTRLM-SIPLD-PLDTG09D-MF-ABEND ORDER ID BSW8H;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 21:53:17
INC000002574840;Atrasou;00 01:15:16;7259MOD-SIINA-BATCH;CTRLM-SIINA-INA03MZA-MF-ABEND ORDER ID BTUA5;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 22:01:33
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
