INC000002528629;Atrasou;00 02:13:36;7259FUN-BACKUP-MP;CTRLM-BKPMP-BKIORAPRD031SI-MP-ABEND ORDER ID 0l5o5;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;6/1/2019 01:39:56
INC000002528629;Atrasou;00 03:50:50;7259FUN-BACKUP-MP;CTRLM-BKPMP-BKIORAPRD031SI-MP-ABEND ORDER ID 0l5o5;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;6/1/2019 01:39:56
INC000002528835;Atrasou;00 04:45:54;7259FUN-BACKUP-MP;CTRLM-BKPMP-BKIPOSPRD07_FULL-MP-ABEND ORDER ID 0l4nb;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;6/1/2019 10:38:04
INC000002528871;Atrasou;00 01:05:02;7259MOD-SIPCS-BATCH;CTRLM-SIPCS-SIPCS_FATURA_933-MP-ABEND ORDER ID 0l573;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;6/1/2019 13:26:10
INC000002529171;Atrasou;01 00:32:58;7259MOD-SIPLD-BATCH;CTRLM-SIPLD-PLD01MZI-MF-ABEND ORDER ID BAPJH;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;6/1/2019 23:07:06
INC000002529203;Atrasou;00 02:29:15;7259MOD-SIINA-BATCH;SIINA - AUSÊNCIA DA INA03MZD NO PROCESSAMENTO DA SEMANAL DE 05/01/19;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 00:19:22
INC000002529208;Atrasou;00 02:36:26;7259MOD-SISTA-BATCH;*E-MAIL - SISTA – COMPONENTE PARA TRANSFERÊNCIA DE ARQUIVOS BACEN;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 06:37:14
INC000002529234;Atrasou;00 01:05:52;7259FUN-BACKUP-MP;Verificar erros do TSM na execução do backup da instância ORAPRD10.;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 21:32:54
INC000002529234;Atrasou;00 05:02:16;7259FUN-BACKUP-MP;Verificar erros do TSM na execução do backup da instância ORAPRD10.;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 21:32:54
INC000002529251;Atrasou;00 02:05:00;7259APL-SIFES;*PRODUÇÃO.7259APL-SIFES.INDISPONIBILIDADE;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 12:24:23
INC000002529318;Atrasou;00 01:09:56;7259APL-SINAF;*E-MAIL - URGENTE: DISPONIBILIDADE SINAFWEB LEGADO;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 16:49:10
INC000002529323;Atrasou;00 02:53:16;7259MOD-SIWLC-BATCH;*Produção.7259APL-SIWLC.Base Desatualizada;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 19:32:14
INC000002529341;Atrasou;00 01:17:20;7259APL-SIOPI;*PRODUÇÃO.7259APL-SIOPI.DISPONIBILIDADE PARCIAL;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 15:27:49
INC000002529424;Atrasou;00 01:50:07;7259APL-SIPCS;*PRODUÇÃO.7259APL-SIPCS.DISPONIBILIDADE PARCIAL;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 11:26:34
INC000002529439;Atrasou;00 01:01:27;7259MOD-SISRH-BATCH;CTRLM-SISRH-SRH13MZI-MF-ABEND ORDER ID BBRXZ;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;9/1/2019 05:03:30
INC000002529523;Atrasou;00 12:43:32;7259FUN-BACKUP-MP;SEMAFORO - BACKUP DE BANCO - ORACLE PRD – ORAPRD03;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 08:44:20
INC000002529640;Atrasou;00 01:05:13;7259MOD-SIPCS-ATENDIMENTO;*EMAIL - SIPCS - ERRO WEBSERVICE;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 12:18:57
INC000002529700;Atrasou;00 01:40:27;7259APL-SIORM;PRD - SIORM –  NÃO OBTIVEMOS RESPOSTA NO TESTE CONECTIVIDADE;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 00:20:12
INC000002529861;Atrasou;00 01:01:05;7259MOD-SIINA-BATCH;CTRLM-SIINA-INA04MZB-MF-ABEND ORDER ID BB2U7;12247/2015_CEPTIBR_HIT_AHS_IEPC005_Inc_ResolucaoP30.;7/1/2019 02:36:05
INC000002529861;Atrasou;00 03:05:13;7259MOD-SIINA-BATCH;CTRLM-SIINA-INA04MZB-MF-ABEND ORDER ID BB2U7;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoP45.;7/1/2019 02:36:05
INC000002529874;Atrasou;00 02:52:36;7259APL-SIORM;MAINVIEW-SIORM-BRPU-AORMQP1S00    AORMQP1S00 PADF  FILA  LQ.INT.SIORM.GARANTIA.COM ACUMULADA;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 04:00:10
INC000002529875;Atrasou;00 02:52:52;7259APL-SIORM;MAINVIEW-SIORM-BRPT-AORMQP1S00    AORMQP1S00 P6DF  FILA  LQ.INT.SIORM.GARANTIA.COM ACUMULADA;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 04:00:14
INC000002529876;Atrasou;00 02:53:08;7259APL-SIORM;MAINVIEW-SIORM-BRP4-AORMQPS00     AORMQPS00 P4DF  FILA  LQ.INT.SIORM.GARANTIA.COM ACUMULADA;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 04:00:18
INC000002529877;Atrasou;00 02:53:50;7259APL-SIORM;MAINVIEW-SIORM-BRPO-AORMQPS00     AORMQPS00 P6DF  FILA  LQ.INT.SIORM.GARANTIA.COM ACUMULADA;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 04:00:22
INC000002529878;Atrasou;00 02:54:05;7259APL-SIORM;MAINVIEW-SIORM-BRPO-AORMQP1S00    AORMQP1S00 P6DF  FILA  LQ.INT.SIORM.GARANTIA.COM ACUMULADA;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 04:00:26
INC000002529879;Atrasou;00 02:54:46;7259APL-SIORM;MAINVIEW-SIORM-BRPU-AORMQPS00     AORMQPS00 PADF  FILA  LQ.INT.SIORM.GARANTIA.COM ACUMULADA;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 04:00:30
